,sample,T,rho
680,34.0,25,-0.9
681,16.0,25,-0.9
682,36.0,25,-0.9
683,18.0,25,-0.9
684,10.0,25,-0.9
685,7.0,25,-0.9
686,7.0,25,-0.9
687,5.0,25,-0.9
688,8.0,25,-0.9
689,11.0,25,-0.9
690,10.0,25,-0.9
691,9.0,25,-0.9
692,13.0,25,-0.9
693,9.0,25,-0.9
694,13.0,25,-0.9
695,24.0,25,-0.9
696,22.0,25,-0.9
697,19.0,25,-0.9
698,22.0,25,-0.9
699,18.0,25,-0.9
700,25.0,25,-0.9
701,18.0,25,-0.9
702,19.0,25,-0.9
703,21.0,25,-0.9
704,21.0,25,-0.9
705,22.0,25,-0.9
706,17.0,25,-0.9
707,37.0,25,-0.9
708,32.0,25,-0.9
709,42.0,25,-0.9
710,26.0,25,-0.9
711,48.0,25,-0.9
712,52.0,25,-0.9
713,25.0,25,-0.9
714,10.0,25,-0.9
715,11.0,25,-0.9
716,28.0,25,-0.9
717,40.0,25,-0.9
718,41.0,25,-0.9
719,48.0,25,-0.9
720,26.0,25,-0.9
721,62.0,25,-0.9
722,55.0,25,-0.9
723,65.0,25,-0.9
724,55.0,25,-0.9
725,51.0,25,-0.9
726,28.0,25,-0.9
727,25.0,25,-0.9
728,26.0,25,-0.9
729,22.0,25,-0.9
730,24.0,25,-0.9
731,31.0,25,-0.9
732,23.0,25,-0.9
733,24.0,25,-0.9
734,58.0,25,-0.9
735,52.0,25,-0.9
736,28.0,25,-0.9
737,38.0,25,-0.9
738,25.0,25,-0.9
739,22.0,25,-0.9
740,27.0,25,-0.9
741,20.0,25,-0.9
742,23.0,25,-0.9
743,19.0,25,-0.9
744,9.0,25,-0.9
745,29.0,25,-0.9
746,17.0,25,-0.9
747,17.0,25,-0.9
748,18.0,25,-0.9
749,24.0,25,-0.9
750,29.0,25,-0.9
751,20.0,25,-0.9
752,10.0,25,-0.9
753,30.0,25,-0.9
754,23.0,25,-0.9
755,13.0,25,-0.9
756,14.0,25,-0.9
757,23.0,25,-0.9
758,17.0,25,-0.9
759,25.0,25,-0.9
760,14.0,25,-0.9
761,14.0,25,-0.9
762,10.0,25,-0.9
763,10.0,25,-0.9
764,33.0,25,-0.9
765,26.0,25,-0.9
766,23.0,25,-0.9
767,14.0,25,-0.9
768,22.0,25,-0.9
769,27.0,25,-0.9
770,16.0,25,-0.9
771,22.0,25,-0.9
772,20.0,25,-0.9
773,15.0,25,-0.9
774,24.0,25,-0.9
775,27.0,25,-0.9
776,33.0,25,-0.9
777,22.0,25,-0.9
778,10.0,25,-0.9
779,10.0,25,-0.9
780,38.0,25,-0.9
781,19.0,25,-0.9
782,19.0,25,-0.9
783,25.0,25,-0.9
784,16.0,25,-0.9
785,14.0,25,-0.9
786,25.0,25,-0.9
787,30.0,25,-0.9
788,32.0,25,-0.9
789,40.0,25,-0.9
790,21.0,25,-0.9
791,23.0,25,-0.9
792,18.0,25,-0.9
793,19.0,25,-0.9
794,24.0,25,-0.9
795,25.0,25,-0.9
796,18.0,25,-0.9
797,21.0,25,-0.9
798,28.0,25,-0.9
799,23.0,25,-0.9
800,27.0,25,-0.9
801,22.0,25,-0.9
802,17.0,25,-0.9
803,10.0,25,-0.9
804,14.0,25,-0.9
805,11.0,25,-0.9
806,12.0,25,-0.9
807,13.0,25,-0.9
808,11.0,25,-0.9
809,11.0,25,-0.9
810,16.0,25,-0.9
811,15.0,25,-0.9
812,15.0,25,-0.9
813,16.0,25,-0.9
814,16.0,25,-0.9
815,14.0,25,-0.9
816,11.0,25,-0.9
817,18.0,25,-0.9
818,38.0,25,-0.9
819,16.0,25,-0.9
820,19.0,25,-0.9
821,22.0,25,-0.9
822,20.0,25,-0.9
823,22.0,25,-0.9
824,19.0,25,-0.9
825,25.0,25,-0.9
826,17.0,25,-0.9
827,23.0,25,-0.9
828,17.0,25,-0.9
829,18.0,25,-0.9
830,13.0,25,-0.9
831,12.0,25,-0.9
832,12.0,25,-0.9
833,13.0,25,-0.9
834,14.0,25,-0.9
835,14.0,25,-0.9
836,12.0,25,-0.9
837,27.0,25,-0.9
838,22.0,25,-0.9
839,22.0,25,-0.9
840,21.0,25,-0.9
841,17.0,25,-0.9
842,17.0,25,-0.9
843,19.0,25,-0.9
844,17.0,25,-0.9
845,27.0,25,-0.9
846,21.0,25,-0.9
847,20.0,25,-0.9
848,20.0,25,-0.9
849,32.0,25,-0.9
850,24.0,25,-0.9
851,25.0,25,-0.9
852,20.0,25,-0.9
853,20.0,25,-0.9
854,27.0,25,-0.9
855,15.0,25,-0.9
856,21.0,25,-0.9
857,23.0,25,-0.9
858,24.0,25,-0.9
859,23.0,25,-0.9
860,29.0,25,-0.9
861,19.0,25,-0.9
862,23.0,25,-0.9
863,22.0,25,-0.9
864,25.0,25,-0.9
865,38.0,25,-0.9
866,33.0,25,-0.9
867,26.0,25,-0.9
868,27.0,25,-0.9
869,19.0,25,-0.9
870,17.0,25,-0.9
871,22.0,25,-0.9
872,24.0,25,-0.9
873,13.0,25,-0.9
874,12.0,25,-0.9
875,18.0,25,-0.9
876,10.0,25,-0.9
877,19.0,25,-0.9
878,23.0,25,-0.9
879,23.0,25,-0.9
880,20.0,25,-0.9
881,20.0,25,-0.9
882,36.0,25,-0.9
883,35.0,25,-0.9
884,28.0,25,-0.9
885,28.0,25,-0.9
886,19.0,25,-0.9
887,19.0,25,-0.9
888,16.0,25,-0.9
889,25.0,25,-0.9
890,17.0,25,-0.9
891,12.0,25,-0.9
892,25.0,25,-0.9
893,19.0,25,-0.9
894,14.0,25,-0.9
895,17.0,25,-0.9
896,16.0,25,-0.9
897,28.0,25,-0.9
898,24.0,25,-0.9
899,30.0,25,-0.9
900,13.0,25,-0.9
901,14.0,25,-0.9
902,52.0,25,-0.9
903,27.0,25,-0.9
904,24.0,25,-0.9
905,32.0,25,-0.9
906,25.0,25,-0.9
907,11.0,25,-0.9
908,24.0,25,-0.9
909,20.0,25,-0.9
910,31.0,25,-0.9
911,15.0,25,-0.9
912,20.0,25,-0.9
913,17.0,25,-0.9
914,16.0,25,-0.9
915,13.0,25,-0.9
916,16.0,25,-0.9
917,26.0,25,-0.9
918,25.0,25,-0.9
919,15.0,25,-0.9
920,21.0,25,-0.9
921,24.0,25,-0.9
922,32.0,25,-0.9
923,7.0,25,-0.9
924,7.0,25,-0.9
925,9.0,25,-0.9
926,9.0,25,-0.9
927,7.0,25,-0.9
928,9.0,25,-0.9
929,12.0,25,-0.9
930,27.0,25,-0.9
931,25.0,25,-0.9
932,26.0,25,-0.9
933,11.0,25,-0.9
934,13.0,25,-0.9
935,24.0,25,-0.9
936,15.0,25,-0.9
937,18.0,25,-0.9
938,20.0,25,-0.9
939,32.0,25,-0.9
940,37.0,25,-0.9
941,22.0,25,-0.9
942,13.0,25,-0.9
943,10.0,25,-0.9
944,9.0,25,-0.9
945,12.0,25,-0.9
946,8.0,25,-0.9
947,18.0,25,-0.9
948,25.0,25,-0.9
949,54.0,25,-0.9
950,50.0,25,-0.9
951,46.0,25,-0.9
952,22.0,25,-0.9
953,40.0,25,-0.9
954,62.0,25,-0.9
955,46.0,25,-0.9
956,58.0,25,-0.9
957,25.0,25,-0.9
958,31.0,25,-0.9
959,23.0,25,-0.9
960,26.0,25,-0.9
961,20.0,25,-0.9
962,24.0,25,-0.9
963,33.0,25,-0.9
964,31.0,25,-0.9
965,36.0,25,-0.9
966,32.0,25,-0.9
967,24.0,25,-0.9
968,25.0,25,-0.9
969,31.0,25,-0.9
970,33.0,25,-0.9
971,26.0,25,-0.9
972,10.0,25,-0.9
973,8.0,25,-0.9
974,10.0,25,-0.9
975,11.0,25,-0.9
976,15.0,25,-0.9
977,15.0,25,-0.9
978,16.0,25,-0.9
979,22.0,25,-0.9
980,15.0,25,-0.9
981,12.0,25,-0.9
982,16.0,25,-0.9
983,12.0,25,-0.9
984,18.0,25,-0.9
985,13.0,25,-0.9
986,19.0,25,-0.9
987,28.0,25,-0.9
988,28.0,25,-0.9
989,26.0,25,-0.9
990,15.0,25,-0.9
991,11.0,25,-0.9
992,13.0,25,-0.9
993,13.0,25,-0.9
994,13.0,25,-0.9
995,13.0,25,-0.9
996,24.0,25,-0.9
997,25.0,25,-0.9
998,28.0,25,-0.9
999,20.0,25,-0.9
1000,50.0,25,-0.9
1001,31.0,25,-0.9
1002,25.0,25,-0.9
1003,50.0,25,-0.9
1004,28.0,25,-0.9
1005,21.0,25,-0.9
1006,36.0,25,-0.9
1007,35.0,25,-0.9
1008,14.0,25,-0.9
1009,37.0,25,-0.9
1010,24.0,25,-0.9
1011,29.0,25,-0.9
1012,36.0,25,-0.9
1013,8.0,25,-0.9
1014,7.0,25,-0.9
1015,16.0,25,-0.9
1016,17.0,25,-0.9
1017,28.0,25,-0.9
1018,29.0,25,-0.9
1019,11.0,25,-0.9
1020,29.0,25,-0.9
1021,34.0,25,-0.9
1022,27.0,25,-0.9
1023,10.0,25,-0.9
1024,19.0,25,-0.9
1025,28.0,25,-0.9
1026,32.0,25,-0.9
1027,8.0,25,-0.9
1028,17.0,25,-0.9
1029,19.0,25,-0.9
1030,32.0,25,-0.9
1031,29.0,25,-0.9
1032,17.0,25,-0.9
1033,12.0,25,-0.9
1034,8.0,25,-0.9
1035,24.0,25,-0.9
1036,10.0,25,-0.9
1037,30.0,25,-0.9
1038,10.0,25,-0.9
1039,11.0,25,-0.9
1040,44.0,25,-0.9
1041,12.0,25,-0.9
1042,16.0,25,-0.9
1043,25.0,25,-0.9
1044,20.0,25,-0.9
1045,21.0,25,-0.9
1046,32.0,25,-0.9
1047,29.0,25,-0.9
1048,25.0,25,-0.9
1049,18.0,25,-0.9
1050,21.0,25,-0.9
1051,12.0,25,-0.9
1052,35.0,25,-0.9
1053,31.0,25,-0.9
1054,24.0,25,-0.9
1055,25.0,25,-0.9
1056,22.0,25,-0.9
1057,10.0,25,-0.9
1058,8.0,25,-0.9
1059,8.0,25,-0.9
1060,24.0,25,-0.9
1061,23.0,25,-0.9
1062,24.0,25,-0.9
1063,31.0,25,-0.9
1064,40.0,25,-0.9
1065,14.0,25,-0.9
1066,18.0,25,-0.9
1067,17.0,25,-0.9
